"%s %s %s with %s of these conditions match:","%s %s %s with %s of these conditions match:"
"%s %s in the %s with %s of these conditions match:","%s %s in the %s with %s of these conditions match:"
"%s purchased quantity&nbsp; %s %s with %s of these conditions match:","%s purchased quantity&nbsp; %s %s with %s of these conditions match:"
"%s sales amount&nbsp; %s %s with %s of these conditions match:","%s sales amount&nbsp; %s %s with %s of these conditions match:"
"%s store of %s website","%s store of %s website"
"---Please Select---","---Please Select---"
"Action","Action"
"Active","Active"
"Admin Store","Admin Store"
"Advanced newsletter subscription","Advanced newsletter subscription"
"Apply MSS rule:","Apply MSS rule:"
"Average","Average"
"Bill to Name","Bill to Name"
"Billing","Billing"
"Billing address","Billing address"
"Category","Category"
"City","City"
"Company","Company"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Copy %s","Copy %s"
"Country","Country"
"CSV","CSV"
"Customer %s address %s %s","Customer %s address %s %s"
"Customer group","Customer group"
"Customer Group","Customer Group"
"Customer Since","Customer Since"
"Customers","Customers"
"Date of birth","Date of birth"
"Delete Rule","Delete Rule"
"does not match","does not match"
"Edit","Edit"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Email","Email"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"First name","First name"
"for","for"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Gender","Gender"
"General Information","General Information"
"Grand total","Grand total"
"greater than","greater than"
"Group","Group"
"ID","ID"
"If Product was %s %s %s times and matches %s of these conditions:","If Product was %s %s %s times and matches %s of these conditions:"
"Inactive","Inactive"
"Index process is running. Please, wait...","Index process is running. Please, wait..."
"Invalid data","Invalid data"
"is","is"
"is not","is not"
"Last name","Last name"
"Last update","Last update"
"less than","less than"
"Manage Rules","Manage Rules"
"Market Segmentation Suite","Market Segmentation Suite"
"matches","matches"
"more than","more than"
"MSS","MSS"
"Name","Name"
"New Rule","New Rule"
"Newsletter subscription","Newsletter subscription"
"Not Specified","Not Specified"
"Number of item","Number of item"
"Number of Different Products","Number of Different Products"
"Total Items Quantity","Total Items Quantity"
"Order #","Order #"
"Order date","Order date"
"Order status","Order status"
"ordered","ordered"
"Orders","Orders"
"Orders quantity","Orders quantity"
"Please enter new template name","Please enter new template name"
"Please wait...","Please wait..."
"Postcode","Postcode"
"Product","Product"
"Product History","Product History"
"Product List","Product List"
"Products","Products"
"Progress","Progress"
"Purchased from (store)","Purchased from (store)"
"Purchased On","Purchased On"
"Purchased quantity","Purchased quantity"
"Ready","Ready"
"Registered in store","Registered in store"
"Reindex process is running. Want to proceed?","Reindex process is running. Want to proceed?"
"Reindex process running. Please wait and try again","Reindex process running. Please wait and try again"
"Reindex Required","Reindex Required"
"Rule "%s" has been saved.","Rule "%s" has been saved."
"Rule "%s" has been saved. Reindex has been successfully done.","Rule "%s" has been saved. Reindex has been successfully done."
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Sales amount","Sales amount"
"Save And Continue Edit","Save And Continue Edit"
"Save And Reindex","Save And Reindex"
"Save As","Save As"
"Save Rule","Save Rule"
"Ship to Name","Ship to Name"
"Shipping","Shipping"
"Shipping address","Shipping address"
"Shopping Cart","Shopping Cart"
"Shopping cart","Shopping cart"
"State (Dropdown)","State (Dropdown)"
"State (Text Field)","State (Text Field)"
"State/Province","State/Province"
"Status","Status"
"Store","Store"
"Store customer registered at ","Store customer registered at "
"Subtotal","Subtotal"
"Telephone","Telephone"
"This filter no longer exists","This filter no longer exists"
"Total","Total"
"Unable to find a rule to delete","Unable to find a rule to delete"
"View","View"
"viewed","viewed"
"Website","Website"
"Wishlist","Wishlist"
"Wrong rule specified!","Wrong rule specified!"
"XML","XML"
"Zip","Zip"
"ZIP","ZIP"
"Add New","Add New"
"From","From"
"To","To"
"Order #","Order #"
"Move selected customers to customer group","Move selected customers to customer group"
"Are you sure?","Are you sure?"
"Customer groups","Customer groups"
"Please select customer(s)","Please select customer(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"